Reference;Ressource;REL;RFC;Context;TOC12;TOC11;TOC10;TOC9;TOC8;TOC7;TOC6;TOC5;TOC4;TOC3;TOC2;TOC1;Reference_StartPosition;Reference_EndPosition
Art. 2 I GG;GG;ist;Regelung;IV. Ergebnis Die Regelung verstößt damit gegen Art. 2 I GG und ist somit nicht materiell verfassungsmäßig.;;;;;;;;;;;Lösung;Fall 3 - Handlungsfreiheit;183199;183210
Art. 2 I GG;GG;dar;Prüfung;Die Verhältnismäßigkeitsprüfung stellt den klaren Schwerpunkt der Prüfung des Art. 2 I GG dar.;;;;;;;;;;;Lösung;Fall 3 - Handlungsfreiheit;183936;183947
Art. 93 I Nr. 2 GG;GG;müsste;BVerfG;Es bietet sich dann die Verwendung eines verkürzten Gutachten- oder des Feststellungsstils an.20 I. Zuständigkeit des BVerfG, Art. 93 I Nr. 2 GG, § 13 Nr. 6 BVerfGG Das BVerfG müsste für das Verfahren zuständig sein.;;;;;;;;;;;Lösung;Fall 3 - Handlungsfreiheit;184988;185006
§ 13 Nr. 6 BVerfGG;GG;müsste;BVerfG;Es bietet sich dann die Verwendung eines verkürzten Gutachten- oder des Feststellungsstils an.20 I. Zuständigkeit des BVerfG, Art. 93 I Nr. 2 GG, § 13 Nr. 6 BVerfGG Das BVerfG müsste für das Verfahren zuständig sein.;;;;;;;;;;;Lösung;Fall 3 - Handlungsfreiheit;185008;185026
Art. 93 I Nr. 2 GG;GG;ist;BVerfG;Diese ist dem BVerfG nach Art. 93 I Nr. 2 GG, § 13 Nr. 6 BVerfGG zugewiesen.;;;;;;;;;;;Lösung;Fall 3 - Handlungsfreiheit;185353;185371
§ 13 Nr. 6 BVerfGG;GG;zugewiesen;BVerfG;Diese ist dem BVerfG nach Art. 93 I Nr. 2 GG, § 13 Nr. 6 BVerfGG zugewiesen.;;;;;;;;;;;Lösung;Fall 3 - Handlungsfreiheit;185373;185391
Art. 93 I Nr. 2 GG;GG;zugewiesen;Antragsberechtigung;II. Antragsberechtigung, Art. 93 I Nr. 2 GG, § 76 I BVerfGG Der Senat der Freien und Hansestadt Hamburg müsste zudem antragsberechtigt sein.;;;;;;;;;;;Lösung;Fall 3 - Handlungsfreiheit;185462;185480
§ 76 I BVerfGG;GG;müsste;Senat;II. Antragsberechtigung, Art. 93 I Nr. 2 GG, § 76 I BVerfGG Der Senat der Freien und Hansestadt Hamburg müsste zudem antragsberechtigt sein.;;;;;;;;;;;Lösung;Fall 3 - Handlungsfreiheit;185482;185496
Art. 93 I Nr. 2 GG;GG;sein;Bundesregierung;Nach Art. 93 I Nr. 2 GG, § 76 I BVerfGG können die Bundesregierung, Landesregierungen oder ein Viertel der Mitglieder des Bundestags einen Antrag auf abstrakte Normenkontrolle beim BVerfG stellen.;;;;;;;;;;;Lösung;Fall 3 - Handlungsfreiheit;185583;185601
§ 76 I BVerfGG;GG;können;Bundesregierung;Nach Art. 93 I Nr. 2 GG, § 76 I BVerfGG können die Bundesregierung, Landesregierungen oder ein Viertel der Mitglieder des Bundestags einen Antrag auf abstrakte Normenkontrolle beim BVerfG stellen.;;;;;;;;;;;Lösung;Fall 3 - Handlungsfreiheit;185603;185617
Art. 93 I Nr. 2 GG;GG;dar;Sinne;Der Senat der Freien und Hansestadt Hamburg stellt eine Landesregierung im Sinne des Art. 93 I Nr. 2 GG, § 76 I BVerfGG dar und ist somit antragsberechtigt.;;;;;;;;;;;Lösung;Fall 3 - Handlungsfreiheit;185860;185878
§ 76 I BVerfGG;GG;dar;Sinne;Der Senat der Freien und Hansestadt Hamburg stellt eine Landesregierung im Sinne des Art. 93 I Nr. 2 GG, § 76 I BVerfGG dar und ist somit antragsberechtigt.;;;;;;;;;;;Lösung;Fall 3 - Handlungsfreiheit;185880;185894
Art. 93 I Nr. 2 GG;GG;bedarf;Antragsgegenstand;Verena Kahl Lösung Fall 3 87 III. Antragsgegenstand, Art. 93 I Nr. 2 GG, § 76 I BVerfGG Es bedarf weiterhin eines tauglichen Antragsgegenstands. Als solcher kommt gemäß Art. 93 I Nr. 2 GG, § 76 I BVerfGG sowohl Bundesrecht als auch Landesrecht in Betracht.;;;;;;;;;;;Lösung;Fall 3 - Handlungsfreiheit;186089;186107
§ 76 I BVerfGG;GG;bedarf;Antragsgegenstand;Verena Kahl Lösung Fall 3 87 III. Antragsgegenstand, Art. 93 I Nr. 2 GG, § 76 I BVerfGG Es bedarf weiterhin eines tauglichen Antragsgegenstands. Als solcher kommt gemäß Art. 93 I Nr. 2 GG, § 76 I BVerfGG sowohl Bundesrecht als auch Landesrecht in Betracht.;;;;;;;;;;;Lösung;Fall 3 - Handlungsfreiheit;186109;186123
Art. 93 I Nr. 2 GG;GG;kommt;Bundesrecht;Verena Kahl Lösung Fall 3 87 III. Antragsgegenstand, Art. 93 I Nr. 2 GG, § 76 I BVerfGG Es bedarf weiterhin eines tauglichen Antragsgegenstands. Als solcher kommt gemäß Art. 93 I Nr. 2 GG, § 76 I BVerfGG sowohl Bundesrecht als auch Landesrecht in Betracht.;;;;;;;;;;;Lösung;Fall 3 - Handlungsfreiheit;186205;186223
§ 76 I BVerfGG;GG;kommt;Bundesrecht;Verena Kahl Lösung Fall 3 87 III. Antragsgegenstand, Art. 93 I Nr. 2 GG, § 76 I BVerfGG Es bedarf weiterhin eines tauglichen Antragsgegenstands. Als solcher kommt gemäß Art. 93 I Nr. 2 GG, § 76 I BVerfGG sowohl Bundesrecht als auch Landesrecht in Betracht.;;;;;;;;;;;Lösung;Fall 3 - Handlungsfreiheit;186225;186239
Art. 93 I Nr. 2 GG;GG;müsste;Antragsgrund;IV. Antragsgrund, Art. 93 I Nr. 2 GG, § 76 I BVerfGG Darüber hinaus müsste der Senat der Freien und Hansestadt Hamburg auch über einen entsprechenden Antragsgrund verfügen.;;;;;;;;;;;Lösung;Fall 3 - Handlungsfreiheit;186818;186836
§ 76 I BVerfGG;GG;müsste;Antragsgrund;IV. Antragsgrund, Art. 93 I Nr. 2 GG, § 76 I BVerfGG Darüber hinaus müsste der Senat der Freien und Hansestadt Hamburg auch über einen entsprechenden Antragsgrund verfügen.;;;;;;;;;;;Lösung;Fall 3 - Handlungsfreiheit;186838;186852
Art. 93 I Nr. 2 GG;GG;verfügen;Antragsgrund;Gemäß Art. 93 I Nr. 2 GG genügt es dafür, dass Meinungsverschiedenheiten oder Zweifel über die förmliche oder sachliche Vereinbarkeit des Antragsgegenstandes mit dem Grundgesetz bestehen.;;;;;;;;;;;Lösung;Fall 3 - Handlungsfreiheit;186979;186997
§ 76 I Nr. 1 BVerfGG;BVerfGG;bestehen;Grundgesetz;Nach § 76 I Nr. 1 BVerfGG müssen der:die Antragsteller:innen den Antragsgegenstand hingegen für nichtig halten.;;;;;;;;;;;Lösung;Fall 3 - Handlungsfreiheit;187166;187186
Art. 93 I Nr. 2 GG;GG;erfüllt;Voraussetzungen;Vorliegend hegt der Senat der Freien und Hansestadt Zweifel bezüglich der Verfassungsmäßigkeit des BSmG, sodass die Voraussetzungen des Art. 93 I Nr. 2 GG erfüllt sind, nicht jedoch die des § 76 I Nr. 1 BVerfGG. Fraglich ist somit, ob diese Zweifel genügen.;;;;;;;;;;;Lösung;Fall 3 - Handlungsfreiheit;187409;187427
§ 76 I Nr. 1 BVerfGG;BVerfGG;sind;Zweifel;Vorliegend hegt der Senat der Freien und Hansestadt Zweifel bezüglich der Verfassungsmäßigkeit des BSmG, sodass die Voraussetzungen des Art. 93 I Nr. 2 GG erfüllt sind, nicht jedoch die des § 76 I Nr. 1 BVerfGG. Fraglich ist somit, ob diese Zweifel genügen.;;;;;;;;;;;Lösung;Fall 3 - Handlungsfreiheit;187463;187483
§ 76 I Nr. 1 BVerfGG;BVerfGG;könnte;Zweifel;In § 76 I Nr. 1 BVerfGG könnte zunächst eine einfachgesetzliche „Konkretisierung“ von Art. 93 I Nr. 2 GG zu sehen sein mit der Folge, dass der Antrag der Senat der Freien und Hansestadt Hamburg unzulässig wäre.;;;;;;;;;;;Lösung;Fall 3 - Handlungsfreiheit;187562;187582
Art. 93 I Nr. 2 GG;GG;sehen;Konkretisierung;In § 76 I Nr. 1 BVerfGG könnte zunächst eine einfachgesetzliche „Konkretisierung“ von Art. 93 I Nr. 2 GG zu sehen sein mit der Folge, dass der Antrag der Senat der Freien und Hansestadt Hamburg unzulässig wäre.;;;;;;;;;;;Lösung;Fall 3 - Handlungsfreiheit;187645;187663
§ 76 BVerfGG;BVerfGG;ist;Regelung;Allerdings muss der Geltungsvorrang des Grundgesetzes dazu führen, dass dessen Regelung Vorrang hat, da das Grundgesetz in der Normenhierarchie höher angesiedelt ist als die einfachgesetzliche Regelung des § 76 BVerfGG. Eine einfachgesetzliche Norm ist somit nicht in der Lage, die weitreichendere Antragsbefugnis aus dem Grundgesetz einzuschränken.;;;;;;;;;;;Lösung;Fall 3 - Handlungsfreiheit;187976;187988
§ 23 I BVerfGG;BVerfGG;ist;Form;VI. Form, § 23 I BVerfGG Der Antrag auf abstrakte Normenkontrolle ist aufgrund seiner objektiven Natur nicht fristgebunden.;;;;;;;;;;;Lösung;Fall 3 - Handlungsfreiheit;189262;189276
Art. 2 I GG;GG;bot;Verstoßes;– Die Prüfung eines Verstoßes gegen Art. 2 I GG als Auffanggrundrecht bot Anlass, den klassischen Grundrechtsaufbau zu wiederholen.;;;;;;;;;;;Lösung;Fall 3 - Handlungsfreiheit;189943;189954
Art. 93 I Nr. 2 GG;GG;ist;Antragsgrund;Schwerpunkt der Zulässigkeitsprüfung ist der Antragsgrund, bei dem sich Art. 93 I Nr. 2 GG als höherrangige Norm durchsetzt.;;;;;;;;;;;Lösung;Fall 3 - Handlungsfreiheit;190948;190966
Art. 2 I GG;GG;darf;JuS;"Verena Kahl Lösung Fall 3 89 Weiterführende Studienliteratur – Wolfgang Kahl, Grundfälle zu Art. 2 I GG, JuS 2008, S. 499–503; 595–599 Dieses Kapitel darf gerne kommentiert, verändert und beliebig genutzt werden.";;;;;;;;;;;Lösung;Fall 3 - Handlungsfreiheit;191093;191104
Sachverhalt;;;;"<p>Im April 2020 verbringt Laya (L) aufgrund der Corona-Pandemie den Großteil ihrer Zeit in den vier Wänden der familiären Wohnung. Da die Infektionszahlen in der Pandemie stetig steigen, befindet sich die 16-jährige L im „Home Schooling“ und wird dort von ihrem alleinerziehenden Vater (V) betreut. L, die bereits seit zwei Jahren der Jugendbewegung „Fridays for Future“ angehört, bereitet ein Referat vor, das sich mit den Auswirkungen des Klimawandels auf den Menschen und seine Umwelt befasst. Im Rahmen ihrer Recherche stößt sie auf die Berichte des „Intergovernmental Panel on Climate Change“ (IPCC), einem wissenschaftlichen Gremium der Vereinten Nationen, welches mithilfe von Expert*innen weltweit in regelmäßigen Berichten den aktuellen Kenntnisstand der Klimaforschung zusammenträgt und bewertet. </p>

<p>Aus diesen Berichten ergibt sich, dass aufgrund des Klimawandels eine Zunahme extremer Wetterereignisse, wie Hitzewellen, starke Regenfälle, Überschwemmungen und Dürren, zu erwarten sind. Mit hoher Sicherheit seien klimawandelbedingte Risiken solcher potentiell lebensbedrohlicher Wetterphänomene mit einem Temperaturanstieg von über 1 °C hoch und würden mit einer zunehmenden Erderwärmung weiter steigen. Gleichzeitig würden unter anderem der Zerfall des Eisschildes, das Absterben des Amazonas-Regenwaldes und der Verlust des Permafrostes dazu führen, dass unwiederbringliche Kipppunkte erreicht würden. Als Kipppunkte werden solche Entwicklungen bezeichnet, die nicht mehr aufgehalten werden können, auch wenn die Ursachen für die Veränderungen beseitigt werden. Die genannten kurzfristigen und langfristigen Phänomene führten wiederum zu Ernteausfällen, mangelhafter Wasserversorgung und der Zerstörung ganzer Lebensräume. Ferner käme es bereits bei einem Temperaturanstieg von 1,5 °C im Vergleich zum vorindustriellen Niveau zu einer Ausbreitung von Infektionskrankheiten und zunehmender menschlicher Morbidität und Mortalität. Dabei gehen verschiedene Berichte davon aus, dass in den nächsten 20-30 Jahren auch in Deutschland besagte Risiken extremer Wetterereignisse einschließlich den daraus resultierenden Ernteausfällen und einer verkürzten Lebenserwartung in Folge von Krankheiten und Hitzewellen zunehmen werden. Auf Grundlage der bestehenden Erkenntnisse empfehlen die Berichte des IPCC, den globalen Temperaturanstieg auf maximal 1,5 °C zu begrenzen, um die Folgen des Klimawandels auf ein noch zumutbares Maß zu reduzieren. Weiterhin ergibt sich aus verschiedenen Studien ein zur Erreichung dieses Ziels global noch bestehendes Restbudget an CO2-Emissionen, mithin die Anzahl an Emissionen, die noch emittiert werden können, bis eine Grenze der Erderwärmung von 1,5 °C erreicht ist. </p>

<p>Am Abendbrottisch erzählt L ihrem Vater von ihrer Recherche und fragt ihn, warum die Politik angesichts des katastrophalen Ausmaßes der Klimakrise nicht endlich tätig werde. In ihrem Gespräch weist V seine Tochter darauf hin, dass immerhin am 18. Dezember 2019 das Bundes-Klimaschutzgesetz (KSG) in Kraft getreten sei. L findet heraus, dass das KSG zwar konkrete jährliche Beschränkungen der Emissionen vorsieht, sogenannte Jahresemissionsmengen. Wissenschaflter*innen halten die Regelungen des KSG jedoch zur Erreichung des 1,5°C Ziels für unzureichend. Denn die vorgesehenen Emissionsmengen würden dazu führen, dass Deutschland sein nationales CO2-Restbudget von etwa 4,2 Gigatonnen im Jahr 2020, errechnet nach dem globalen Pro-Kopf-Anteil am verbleibenden Gesamtbudget, bereits im Jahr 2025 aufgebraucht hätte. L ist daher der Meinung, dass das Gesetz völlig ungeeignet sei, um dem Klimawandel und dessen Folgen angemessen zu begegnen und es somit die Gesundheit und das Leben der jungen Generation auf's Spiel setze. Sie bespricht sich virtuell mit der auf Klimaschutzklagen spezialisierten Anwältin A. Nach diesem Gespräch fühlt sie sich in ihrem Anliegen bestärkt und ist nun fest entschlossen, gerichtlich gegen das KSG vorzugehen, sodass sie mit Unterstützung der A am 22. April 2020 formgerecht Beschwerde vor dem Bundesverfassungsgericht erhebt. V unterstützt sie vollumfänglich bei diesem Vorgehen. </p>

<p>In ihrer Beschwerde rügt L die Verletzung ihrer Grundrechte durch das unzureichende Handeln des Gesetzgebers in Form der §§ 1, 3 I, 4 i.V.m. Anlage 2 des KSG. Zur Begründung macht L unter anderem geltend, dass sie als Vertreterin der jungen Generation besonders gravierend von den Auswirkungen der politischen Untätigkeit betroffen sein werde. Diesbezüglich bestünde dringender Handlungsbedarf, da es ansonsten angesichts der irreversiblen Folgen des Klimawandels für eine Kehrtwende zu spät sein werde. Aus diesem Grund komme es nicht darauf an, dass sie bereits jetzt mit absoluter Sicherheit und im Detail darlegen könnte, wann und in welchem Umfang sie von den Verletzungen betroffen sein werde. Gerade die unzureichenden Maßnahmen im KSG setzten dabei entscheidende Ursachen für die klimawandelbedingen Risiken. Schließlich sei Deutschland im Vergleich zur Bevölkerungszahl global für einen überdurchschnittlich hohen CO2-Ausstoß verantwortlich. Darüber hinaus wäre es unbeachtlich, dass auch andere Staaten mit ihren CO2-Emissionen zum Klimawandel beitrügen. Dies würde schließlich nichts an dem Beitrag deutscher Emissionen zur globalen Erderwärmung ändern. Ferner argumentiert L, dass die vom Gesetzgeber im KSG geregelten Emissionsmengen offensichtlich hinter dem grundrechtlich geschuldeten Mindestschutz zurückblieben, da sie in keinerlei realistischer Verbindung mit der Einhaltung der 1,5 °C-Grenze stünden. Wie die wissenschaftlichen Berechnungen zeigten, dürfte Deutschland bei Befolgung des KSG ab 2025 keine Emissionen mehr ausstoßen, da sein Restbudget dann erschöpft sei. Bereits daraus folge, dass die Entscheidungsgrundlagen angesichts der staatlichen Schutzpflichten nicht tragbar seien, zumal die vorgenannten Berechnungen für die BRD günstige Maßstäbe zugrunde legten. </p>

<p>Bundesregierung und Bundestag halten in ihrer Stellungnahme die Verfassungsbeschwerde der L dagegen bereits für unzulässig. L könnte sich schon allein deshalb nicht vor dem BVerfG auf eine Verletzung ihrer Grundrechte berufen, weil sie nicht geltend gemacht habe, inwiefern sie sich dabei von anderen Mitbürger*innen unterscheide. Eine spezifische Nähe der Beschwerdeführerin zu den gerügten Gefährdungen sei erforderlich, wohingegen die vom Klimawandel ausgehenden Gefahren die Allgemeinheit insgesamt beträfen. Weiterhin lägen die potentiellen Gefährdungen so weit in der Zukunft, dass L nicht mit Sicherheit darlegen könne, ob und wie genau sie konkret von den als unzureichend gerügten Maßnahmen betroffen sein werde. Schließlich bestehe auch nicht der erforderliche unmittelbare Zusammenhang zwischen den Maßnahmen im KSG und den Folgen für Leben und Gesundheit durch klimawandelbedingte Extremwetterereignisse. Im Gegenteil sei der nachhaltige Erfolg der deutschen Maßnahmen abhängig von einer internationalen Zusammenarbeit und dem Verhalten anderer Staaten. </p>

<p>Darüber hinaus berufen sich Bundestag und Bundesregierung insbesondere auf den weiten legislativen Gestaltungs- und Entscheidungsspielraum, welcher durch Gerichte nur eingeschränkt überprüfbar sei. Bei den Regelungen des KSG handele es sich um ein politisch ausgehandeltes Ergebnis am Ende von demokratischen Entscheidungsprozessen und unter Berücksichtigung verschiedener gesellschaftlicher Interessen. Weder unterliege dieses Ergebnis einer umfassenden gerichtlichen Kontrolle noch ergäben sich aus Art. 2 II 1 GG Pflichten zu einem optimalen Grundrechtsschutz. Vielmehr sei der Staat nur zu einem Mindestschutz verpflichtet, welcher im Lichte der besonders komplexen Materie und den verschiedenen politisch wählbaren Lösungswegen nicht zu hoch angesetzt werden dürfe. Allein durch den Erlass des KSG sei der Gesetzgeber bereits tätig geworden, sodass eine offensichtliche Unzulänglichkeit jedenfalls ausgeschlossen sei. Schließlich lehnen Bundesregierung und Bundestag die Verbindlichkeit des nationalen Restbudgets ab, da es sich hierbei um eine politische und ethische Frage handele, die Gerechtigkeitserwägungen unterworfen sei und sich nur aus globalen Aushandlungsprozessen ergeben könne. </p>
";;;;;;;;;;;Sachverhalt;Fall 4 - Recht auf Gesundheit;198000;198050
Art. 2 II 1 GG;GG;ergäben;Pflichten;Weder unterliege dieses Ergebnis einer umfassenden gerichtlichen Kontrolle noch ergäben sich aus Art. 2 II 1 GG Pflichten zu einem optimalen Grundrechtsschutz.;;;;;;;;;;;Sachverhalt;Fall 4 - Recht auf Gesundheit;199689;199703
Fallfrage;;;;Hat die Verfassungsbeschwerde der L Aussicht auf Erfolg?;;;;;;;;;;;Fallfrage;Fall 4 - Recht auf Gesundheit;200000;200010
Art. 2 GG;GG;ist;Grundrechtsprüfung;Die Grundrechtsprüfung ist auf Art. 2 GG zu begrenzen.;;;;;;;;;;;Fallfrage;Fall 4 - Recht auf Gesundheit;200813;200822
§ 4 I 7 KSG;KSG;ist;Grundrechtsprüfung;Daher ist insbesondere § 4 I 7 KSG nicht zu berücksichtigen.;;;;;;;;;;;Fallfrage;Fall 4 - Recht auf Gesundheit;201047;201058
Art. 93 I Nr. 4a GG;GG;ist;BVerfG;I. Zuständigkeit des BVerfG, Art. 93 I Nr. 4a GG, § 13 Nr. 8a BVerfGG Das BVerfG ist für die hier eingelegte Verfassungsbeschwerde der L gemäß Art. 93 I Nr. 4a GG, §§ 13 Nr. 8a, 90 ff. BVerfGG zuständig.3 II. Beschwerde- und Prozessfähigkeit, Art. 93 I Nr. 4a GG, § 90 I BVerfGG L müsste sowohl beschwerde- als auch prozessfähig sein.;;;;;;;;;;;Lösung;Fall 4 - Recht auf Gesundheit;203456;203475
§ 13 Nr. 8a BVerfGG;GG;ist;BVerfG;I. Zuständigkeit des BVerfG, Art. 93 I Nr. 4a GG, § 13 Nr. 8a BVerfGG Das BVerfG ist für die hier eingelegte Verfassungsbeschwerde der L gemäß Art. 93 I Nr. 4a GG, §§ 13 Nr. 8a, 90 ff. BVerfGG zuständig.3 II. Beschwerde- und Prozessfähigkeit, Art. 93 I Nr. 4a GG, § 90 I BVerfGG L müsste sowohl beschwerde- als auch prozessfähig sein.;;;;;;;;;;;Lösung;Fall 4 - Recht auf Gesundheit;203477;203496
Art. 93 I Nr. 4a GG;GG;ff;L;I. Zuständigkeit des BVerfG, Art. 93 I Nr. 4a GG, § 13 Nr. 8a BVerfGG Das BVerfG ist für die hier eingelegte Verfassungsbeschwerde der L gemäß Art. 93 I Nr. 4a GG, §§ 13 Nr. 8a, 90 ff. BVerfGG zuständig.3 II. Beschwerde- und Prozessfähigkeit, Art. 93 I Nr. 4a GG, § 90 I BVerfGG L müsste sowohl beschwerde- als auch prozessfähig sein.;;;;;;;;;;;Lösung;Fall 4 - Recht auf Gesundheit;203570;203589
Art. 93 I Nr. 4a GG;GG;müsste;Prozessfähigkeit;I. Zuständigkeit des BVerfG, Art. 93 I Nr. 4a GG, § 13 Nr. 8a BVerfGG Das BVerfG ist für die hier eingelegte Verfassungsbeschwerde der L gemäß Art. 93 I Nr. 4a GG, §§ 13 Nr. 8a, 90 ff. BVerfGG zuständig.3 II. Beschwerde- und Prozessfähigkeit, Art. 93 I Nr. 4a GG, § 90 I BVerfGG L müsste sowohl beschwerde- als auch prozessfähig sein.;;;;;;;;;;;Lösung;Fall 4 - Recht auf Gesundheit;203670;203689
§ 90 I BVerfGG;GG;müsste;L;I. Zuständigkeit des BVerfG, Art. 93 I Nr. 4a GG, § 13 Nr. 8a BVerfGG Das BVerfG ist für die hier eingelegte Verfassungsbeschwerde der L gemäß Art. 93 I Nr. 4a GG, §§ 13 Nr. 8a, 90 ff. BVerfGG zuständig.3 II. Beschwerde- und Prozessfähigkeit, Art. 93 I Nr. 4a GG, § 90 I BVerfGG L müsste sowohl beschwerde- als auch prozessfähig sein.;;;;;;;;;;;Lösung;Fall 4 - Recht auf Gesundheit;203691;203705
Art. 93 I Nr. 4a GG;GG;müsste;Sinne;Ammar Bustami/Verena Kahl 96 Fall 4 Lösung 1. Beschwerdefähigkeit L müsste beschwerdefähig im Sinne von Art. 93 I Nr. 4a GG, § 90 I BVerfGG sein.4 Beschwerdefähig ist jede:r, der:die Träger:in von Grundrechten oder grundrechtsgleichen Rechten sein kann, das heißt wer grundrechtsberechtigt beziehungsweise grundrechtsfähig ist.;;;;;;;;;;;Lösung;Fall 4 - Recht auf Gesundheit;204546;204565
§ 90 I BVerfGG;GG;ist;.4;Ammar Bustami/Verena Kahl 96 Fall 4 Lösung 1. Beschwerdefähigkeit L müsste beschwerdefähig im Sinne von Art. 93 I Nr. 4a GG, § 90 I BVerfGG sein.4 Beschwerdefähig ist jede:r, der:die Träger:in von Grundrechten oder grundrechtsgleichen Rechten sein kann, das heißt wer grundrechtsberechtigt beziehungsweise grundrechtsfähig ist.;;;;;;;;;;;Lösung;Fall 4 - Recht auf Gesundheit;204567;204581
Art. 2 II 1 GG;GG;hat;Unversehrtheit;Gerade in Bezug auf ihr eigenes Recht auf Leben und körperliche Unversehrtheit aus Art. 2 II 1 GG hat sie trotz ihrer Minderjährigkeit durchaus die Reife und Einsichtsfähigkeit, die Reichweite dieses Rechts sowie das Ausmaß staatlichen Handelns darauf zu verstehen.;;;;;;;;;;;Lösung;Fall 4 - Recht auf Gesundheit;205560;205574
Art. 2 II 1 GG;GG;besitzt;Schutzpflichten;Insbesondere zeigt die Art und Weise, wie sie die negativen Folgen eines übermäßigen CO2-Ausstoßes auf die Umwelt und die Menschen wahrnimmt, sich darüber informiert und hierzu Stellung bezieht, dass L die Zusammenhänge von Klimawandel, gesetzlicher Regulierung und Gefährdung ihrer Gesundheit erkennt und somit die notwendige Reife und Einsichtsfähigkeit im Hinblick auf potentielle Schutzpflichten aus Art. 2 II 1 GG besitzt.;;;;;;;;;;;Lösung;Fall 4 - Recht auf Gesundheit;206147;206161
Art. 2 II 1 GG;GG;existiert;Rahmen;Detailliertere Ausführungen sind nicht zwingend, da zur Frage der Grundrechtsmündigkeit von Kindern und Jugendlichen im Rahmen des Art. 2 II 1 GG bisher keine entsprechende höchstrichterliche Rechtsprechung existiert.;;;;;;;;;;;Lösung;Fall 4 - Recht auf Gesundheit;206515;206529
Art. 93 I Nr. 4a GG;GG;müsste;Beschwerdegegenstand;III. Beschwerdegegenstand, Art. 93 I Nr. 4a GG, § 90 I BVerfGG Des Weiteren müsste ein tauglicher Beschwerdegegenstand vorliegen.;;;;;;;;;;;Lösung;Fall 4 - Recht auf Gesundheit;207288;207307
§ 90 I BVerfGG;GG;müsste;Weiteren;III. Beschwerdegegenstand, Art. 93 I Nr. 4a GG, § 90 I BVerfGG Des Weiteren müsste ein tauglicher Beschwerdegegenstand vorliegen.;;;;;;;;;;;Lösung;Fall 4 - Recht auf Gesundheit;207309;207323
Art. 93 I Nr. 4a GG;GG;kann;Verfassungsbeschwerde;Gegenstand der Verfassungsbeschwerde kann gemäß Art. 93 I Nr. 4a GG, § 90 I BVerfGG jeder Akt der öffentlichen Gewalt (Legislative, Exekutive, Judikative) sein.7 Dabei kommt nicht nur ein aktives Tun, sondern auch ein Unterlassen der öffentlichen Gewalt in Betracht, §§ 92, 95 I BVerfGG, wobei zwischen echtem und unechtem Unterlassen unterschieden wird: Echtes Unterlassen liegt vor, wenn der Gesetzgeber eine schutzpflichtkonforme Regelung vollständig unterlassen hat, es also an einer einfachgesetzlichenRegelungfehlt.UnechtesUnterlassenkanndagegengerügtwerden, wenn eine konkrete Norm bereits existiert, diese aber als nicht schutzpflichtkonform angesehen wird, weil sie gänzlich ungeeignet oder unzulänglich sei.8 Vorliegend richtet L ihre Verfassungsbeschwerde gegen die aus ihrer Sicht unzureichenden Regelungen der §§ 1, 3 I, 4 I in Verbindung mit Anlage 2 des neuen Bundes-Klimaschutzgesetzes (KSG).9 Sie rügt damit eine ungenügende Erfüllung der legislativen Schutzpflicht durch ein bereits verabschiedetes Gesetz und somit ein unechtes Unterlassen.10 Dieses unechte Unterlassen stellt einen tauglichen Beschwerdegegenstand im Sinne von Art. 93 I Nr. 4a GG, § 90 I BVerfGG dar.;;;;;;;;;;;Lösung;Fall 4 - Recht auf Gesundheit;207439;207458
§ 90 I BVerfGG;GG;kann;Akt;Gegenstand der Verfassungsbeschwerde kann gemäß Art. 93 I Nr. 4a GG, § 90 I BVerfGG jeder Akt der öffentlichen Gewalt (Legislative, Exekutive, Judikative) sein.7 Dabei kommt nicht nur ein aktives Tun, sondern auch ein Unterlassen der öffentlichen Gewalt in Betracht, §§ 92, 95 I BVerfGG, wobei zwischen echtem und unechtem Unterlassen unterschieden wird: Echtes Unterlassen liegt vor, wenn der Gesetzgeber eine schutzpflichtkonforme Regelung vollständig unterlassen hat, es also an einer einfachgesetzlichenRegelungfehlt.UnechtesUnterlassenkanndagegengerügtwerden, wenn eine konkrete Norm bereits existiert, diese aber als nicht schutzpflichtkonform angesehen wird, weil sie gänzlich ungeeignet oder unzulänglich sei.8 Vorliegend richtet L ihre Verfassungsbeschwerde gegen die aus ihrer Sicht unzureichenden Regelungen der §§ 1, 3 I, 4 I in Verbindung mit Anlage 2 des neuen Bundes-Klimaschutzgesetzes (KSG).9 Sie rügt damit eine ungenügende Erfüllung der legislativen Schutzpflicht durch ein bereits verabschiedetes Gesetz und somit ein unechtes Unterlassen.10 Dieses unechte Unterlassen stellt einen tauglichen Beschwerdegegenstand im Sinne von Art. 93 I Nr. 4a GG, § 90 I BVerfGG dar.;;;;;;;;;;;Lösung;Fall 4 - Recht auf Gesundheit;207460;207474
