Reference;Ressource;REL;RFC;Context;TOC12;TOC11;TOC10;TOC9;TOC8;TOC7;TOC6;TOC5;TOC4;TOC3;TOC2;TOC1;Reference_StartPosition;Reference_EndPosition
Art. 42 II GG;GG;ist;Bundestag;Für ein Gesetz ist im Bundestag gemäß Art. 42 II GG grundsätzlich die Mehrheit der abgegebenen Stimmen entscheidend.;;;;;;;;;;;§ 7 Grenzen der Einschränkbarkeit – Schranken-Schranken;Abschnitt 2 Aufbau der Prüfung eines Freiheitsgrundrechts;234146;234159
Art. 79 II GG;GG;ist;Zwei-Drittel-Mehrheit;Für Verfassungsänderungen ist nach Art. 79 II GG eine Zwei-Drittel-Mehrheit der Mitglieder des Bundestages notwendig.;;;;;;;;;;;§ 7 Grenzen der Einschränkbarkeit – Schranken-Schranken;Abschnitt 2 Aufbau der Prüfung eines Freiheitsgrundrechts;234260;234273
Art. 77 III GG;GG;kommt;Gesetz;Bei einem Einspruchsgesetz kommt das Gesetz gemäß Art. 77 III GG nur dann nicht zustande, wenn der Bundesrat das Gesetz ablehnt.;;;;;;;;;;;§ 7 Grenzen der Einschränkbarkeit – Schranken-Schranken;Abschnitt 2 Aufbau der Prüfung eines Freiheitsgrundrechts;234665;234679
Art. 77 IV GG;GG;zurückweisen;Bundestag;Selbst eine Ablehnung des Einspruchsgesetzes kann der Bundestag nach Art. 77 IV GG zurückweisen und das Gesetz trotzdem verabschieden.;;;;;;;;;;;§ 7 Grenzen der Einschränkbarkeit – Schranken-Schranken;Abschnitt 2 Aufbau der Prüfung eines Freiheitsgrundrechts;234813;234826
Art. 77 II GG;GG;geregelt;Gesetz;Auch in Art. 77 II GG geregelt ist das besondere Verfahren im Vermittlungsausschuss, der gemäß Art. 72 II GG bei Zustimmungsgesetzen angerufen werden kann oder gemäß Art. 72 III GG bei Einspruchsgesetzen angerufen werden muss, wenn Bundestag und Bundesrat eine unterschiedliche Auffassung von dem Gesetzesentwurf haben.;;;;;;;;;;;§ 7 Grenzen der Einschränkbarkeit – Schranken-Schranken;Abschnitt 2 Aufbau der Prüfung eines Freiheitsgrundrechts;234887;234900
Art. 72 II GG;GG;angerufen;Zustimmungsgesetzen;Auch in Art. 77 II GG geregelt ist das besondere Verfahren im Vermittlungsausschuss, der gemäß Art. 72 II GG bei Zustimmungsgesetzen angerufen werden kann oder gemäß Art. 72 III GG bei Einspruchsgesetzen angerufen werden muss, wenn Bundestag und Bundesrat eine unterschiedliche Auffassung von dem Gesetzesentwurf haben.;;;;;;;;;;;§ 7 Grenzen der Einschränkbarkeit – Schranken-Schranken;Abschnitt 2 Aufbau der Prüfung eines Freiheitsgrundrechts;234974;234987
Art. 72 III GG;GG;kann;Einspruchsgesetzen;Auch in Art. 77 II GG geregelt ist das besondere Verfahren im Vermittlungsausschuss, der gemäß Art. 72 II GG bei Zustimmungsgesetzen angerufen werden kann oder gemäß Art. 72 III GG bei Einspruchsgesetzen angerufen werden muss, wenn Bundestag und Bundesrat eine unterschiedliche Auffassung von dem Gesetzesentwurf haben.;;;;;;;;;;;§ 7 Grenzen der Einschränkbarkeit – Schranken-Schranken;Abschnitt 2 Aufbau der Prüfung eines Freiheitsgrundrechts;235045;235059
Art. 78 GG;GG;zustande;Verfahren;Ein Gesetz kommt nach diesem Verfahren also gemäß Art. 78 GG zustande, wenn der Bundesrat zustimmt, den Antrag gemäß Art. 77 II GG nicht stellt, innerhalb der Frist des Art. 77 III GG keinen Einspruch einlegt oder ihn zurücknimmt oder wenn der Einspruch vom Bundestag überstimmt wird.;;;;;;;;;;;§ 7 Grenzen der Einschränkbarkeit – Schranken-Schranken;Abschnitt 2 Aufbau der Prüfung eines Freiheitsgrundrechts;235394;235404
Art. 77 II GG;GG;stellt;Antrag;Ein Gesetz kommt nach diesem Verfahren also gemäß Art. 78 GG zustande, wenn der Bundesrat zustimmt, den Antrag gemäß Art. 77 II GG nicht stellt, innerhalb der Frist des Art. 77 III GG keinen Einspruch einlegt oder ihn zurücknimmt oder wenn der Einspruch vom Bundestag überstimmt wird.;;;;;;;;;;;§ 7 Grenzen der Einschränkbarkeit – Schranken-Schranken;Abschnitt 2 Aufbau der Prüfung eines Freiheitsgrundrechts;235461;235474
Art. 77 III GG;GG;stellt;Frist;Ein Gesetz kommt nach diesem Verfahren also gemäß Art. 78 GG zustande, wenn der Bundesrat zustimmt, den Antrag gemäß Art. 77 II GG nicht stellt, innerhalb der Frist des Art. 77 III GG keinen Einspruch einlegt oder ihn zurücknimmt oder wenn der Einspruch vom Bundestag überstimmt wird.;;;;;;;;;;;§ 7 Grenzen der Einschränkbarkeit – Schranken-Schranken;Abschnitt 2 Aufbau der Prüfung eines Freiheitsgrundrechts;235513;235527
Art. 82 I 1 GG;GG;ausgefertigt;Bundespräsidenten;Bundesgesetze werden nach Abschluss des beschriebenen Gesetzgebungsverfahrens gemäß Art. 82 I 1 GG vom Bundespräsidenten nach Gegenzeichnung ausgefertigt und im Bundesgesetzblatt verkündet.;;;;;;;;;;;§ 7 Grenzen der Einschränkbarkeit – Schranken-Schranken;Abschnitt 2 Aufbau der Prüfung eines Freiheitsgrundrechts;235997;236011
Art. 82 II GG;GG;tritt;Gesetz;Das Gesetz tritt gemäß Art. 82 II GG entweder 14 Tage nach Verkündung im Bundesgesetzblatt in Kraft oder – wenn ein abweichendes Datum im Gesetz enthalten ist – zu diesem abweichenden Datum. Auch für die Gesetzgebungsform gilt erneut, dass nur Bundesgesetze am Maßstab der Verfassung geprüft werden. Landesverfassungsrechtliche Formvorschriften kann das BVerfG mangels Prüfungskompetenz bei der Grundrechtsprüfung nicht berücksichtigen.;;;;;;;;;;;§ 7 Grenzen der Einschränkbarkeit – Schranken-Schranken;Abschnitt 2 Aufbau der Prüfung eines Freiheitsgrundrechts;236126;236139
Art. 20 III GG;GG;präziser;Rechtsstaatsprinzip;Der im Rechtsstaatsprinzip (Art. 20 III GG) angelegte Grundsatz der Gewaltenteilung (präziser: Gewaltenverschränkung) fordert eben nicht, dass jede Entscheidung durch ein Parlamentsgesetz getroffen werden muss, sondern dass die Kompetenz zur Regelung von Sachverhalten zwischen den verschiedenen Gewalten (insbesondere Legislative und Exekutive) aufgeteilt werden muss. Eine Sachentscheidung soll von derjenigen Gewalt getroffen werden, die dazu am besten geeignet ist. Für eine wesentliche Entscheidung und damit für ein hinreichend konkretes Eingriffsgesetz sprechen eine hohe Eingriffsintensität sowie die individuelle und gesellschaftliche Relevanz der Grundrechtswahrnehmung im konkreten Fall. Dabei kann auch auf die Anzahl der Betroffenen, die Folgewirkungen der Maßnahme und die Auswirkungen auf das grundrechtliche System zwischen den drei Gewalten (sogenanntes institutional setting) oder das Gemeinwesen abgestellt werden.;;;;;;;;;;;§ 7 Grenzen der Einschränkbarkeit – Schranken-Schranken;Abschnitt 2 Aufbau der Prüfung eines Freiheitsgrundrechts;238659;238673
Art. 20 III GG;GG;steht;Rechtsstaatsprinzip;In einem engen Zusammenhang mit der Wesentlichkeitslehre steht das aus dem Rechtsstaatsprinzip in Art. 20 III GG abzuleitende Bestimmtheitsgebot. Die Wesentlichkeitslehre fordert, dass der Gesetzgeber die wesentlichen Entscheidungen für den Grundrechtseingriff in einem Gesetz selbst trifft. Die bloße Existenz eines Gesetzes reicht aber nicht aus. Vielmehr muss das Gesetz nach dem Bestimmtheitsgebot so gestaltet sein, dass die Rechtslage für die Normbetroffenen verständlich ist und diese ihr Verhalten danach ausrichten können. Das Gesetz muss also hinreichend klar und widerspruchsfrei sein (sogennantes Gebot der Normenklarheit und Widerspruchsfreiheit).;;;;;;;;;;;§ 7 Grenzen der Einschränkbarkeit – Schranken-Schranken;Abschnitt 2 Aufbau der Prüfung eines Freiheitsgrundrechts;241274;241288
§ 8 PolG NRW;PolG;enthalten;Grundrechtseingriffe;Beispiel: Die Polizei- und Ordnungsbehördengesetze der Länder enthalten in der Regel eine Generalklausel als Ermächtigungsgrundlage für Grundrechtseingriffe (beispielsweise § 8 PolG NRW). Nach dieser Generalklausel kann die Exekutive Maßnahmen treffen, um Gefahren für die öffentliche Ordnung abzuwehren. Auf den ersten Blick erscheint es für Bürger:innen unmöglich, vorherzusehen, welche Verhaltensweisen eine Gefahr für die öffentlich Ordnung darstellen. Allerdings dient der unbestimmte Rechtsbegriff „öffentliche Ordnung“ dazu, neue oder untypische Phänomene polizei- und ordnungsrechtlich zu regeln. Die Rechtsprechung hat zudem Fallgruppen entwickelt, die eine Präzisierung des Begriffs ermöglichen. Ein Verstoß gegen das Bestimmtheitsgebot liegt also nicht vor. Nichtsdestoweniger ist die „öffentliche Ordnung“ aufgrund ihrer Unbestimmtheit grundrechtsschonend, also zurückhaltend auszulegen.;;;;;;;;;;;§ 7 Grenzen der Einschränkbarkeit – Schranken-Schranken;Abschnitt 2 Aufbau der Prüfung eines Freiheitsgrundrechts;243377;243389
Art. 80 I 2 GG;GG;enthält;Anforderungen;Für Gesetze, die den Erlass von Rechtsverordnungen erlauben, enthält Art. 80 I 2 GG speziellere Anforderungen als das allgemeine Bestimmtheitsgebot aus Art. 20 III GG. Für den besonders grundrechtssensiblen Bereich der Strafgesetze enthält Art. 103 II GG verschärfte Anforderungen an die Bestimmtheit.;;;;;;;;;;;§ 7 Grenzen der Einschränkbarkeit – Schranken-Schranken;Abschnitt 2 Aufbau der Prüfung eines Freiheitsgrundrechts;244175;244189
Art. 20 III GG;GG;enthält;Bestimmtheitsgebot;Für Gesetze, die den Erlass von Rechtsverordnungen erlauben, enthält Art. 80 I 2 GG speziellere Anforderungen als das allgemeine Bestimmtheitsgebot aus Art. 20 III GG. Für den besonders grundrechtssensiblen Bereich der Strafgesetze enthält Art. 103 II GG verschärfte Anforderungen an die Bestimmtheit.;;;;;;;;;;;§ 7 Grenzen der Einschränkbarkeit – Schranken-Schranken;Abschnitt 2 Aufbau der Prüfung eines Freiheitsgrundrechts;244258;244272
Art. 103 II GG;GG;enthält;Strafgesetze;Für Gesetze, die den Erlass von Rechtsverordnungen erlauben, enthält Art. 80 I 2 GG speziellere Anforderungen als das allgemeine Bestimmtheitsgebot aus Art. 20 III GG. Für den besonders grundrechtssensiblen Bereich der Strafgesetze enthält Art. 103 II GG verschärfte Anforderungen an die Bestimmtheit.;;;;;;;;;;;§ 7 Grenzen der Einschränkbarkeit – Schranken-Schranken;Abschnitt 2 Aufbau der Prüfung eines Freiheitsgrundrechts;244346;244360
Art. 19 II GG;GG;darf;Wesensgehaltsgarantie;Nach der in Art. 19 II GG normierten Wesensgehaltsgarantie darf kein Grundrecht in seinem Wesensgehalt angetastet werden. Die Wesensgehaltsgarantie schützt materiell die Ausübung von Grundrechten durch das Individuum und formell die Kompetenz des verfassungsändernden Gesetzgebers vor dem Zugriff des einfachen Gesetzgebers. Nur der verfassungsändernde Gesetzgeber darf nach Art. 79 II GG Grundrechte in ihrem Wesenskern durch eine Grundgesetzänderung mit Zwei-Drittel-Mehrheit beschränken und ist daher auch nicht an die Wesensgehaltsgarantie gebunden. Darin kommt letztlich die in Art. 1 III GG festgeschriebene Grundrechtsbindung aller Staatsgewalt zum Ausdruck. Der Wesensgehalt muss für jedes Grundrecht individuell bestimmt werden. Wie dieser Wesensgehalt für ein Grundrecht konkret bestimmt werden kann, ist allerdings unklar.;;;;;;;;;;;§ 7 Grenzen der Einschränkbarkeit – Schranken-Schranken;Abschnitt 2 Aufbau der Prüfung eines Freiheitsgrundrechts;245011;245024
Art. 79 II GG;GG;darf;Grundrechte;Nach der in Art. 19 II GG normierten Wesensgehaltsgarantie darf kein Grundrecht in seinem Wesensgehalt angetastet werden. Die Wesensgehaltsgarantie schützt materiell die Ausübung von Grundrechten durch das Individuum und formell die Kompetenz des verfassungsändernden Gesetzgebers vor dem Zugriff des einfachen Gesetzgebers. Nur der verfassungsändernde Gesetzgeber darf nach Art. 79 II GG Grundrechte in ihrem Wesenskern durch eine Grundgesetzänderung mit Zwei-Drittel-Mehrheit beschränken und ist daher auch nicht an die Wesensgehaltsgarantie gebunden. Darin kommt letztlich die in Art. 1 III GG festgeschriebene Grundrechtsbindung aller Staatsgewalt zum Ausdruck. Der Wesensgehalt muss für jedes Grundrecht individuell bestimmt werden. Wie dieser Wesensgehalt für ein Grundrecht konkret bestimmt werden kann, ist allerdings unklar.;;;;;;;;;;;§ 7 Grenzen der Einschränkbarkeit – Schranken-Schranken;Abschnitt 2 Aufbau der Prüfung eines Freiheitsgrundrechts;245378;245391
Art. 1 III GG;GG;kommt;Grundrechtsbindung;Nach der in Art. 19 II GG normierten Wesensgehaltsgarantie darf kein Grundrecht in seinem Wesensgehalt angetastet werden. Die Wesensgehaltsgarantie schützt materiell die Ausübung von Grundrechten durch das Individuum und formell die Kompetenz des verfassungsändernden Gesetzgebers vor dem Zugriff des einfachen Gesetzgebers. Nur der verfassungsändernde Gesetzgeber darf nach Art. 79 II GG Grundrechte in ihrem Wesenskern durch eine Grundgesetzänderung mit Zwei-Drittel-Mehrheit beschränken und ist daher auch nicht an die Wesensgehaltsgarantie gebunden. Darin kommt letztlich die in Art. 1 III GG festgeschriebene Grundrechtsbindung aller Staatsgewalt zum Ausdruck. Der Wesensgehalt muss für jedes Grundrecht individuell bestimmt werden. Wie dieser Wesensgehalt für ein Grundrecht konkret bestimmt werden kann, ist allerdings unklar.;;;;;;;;;;;§ 7 Grenzen der Einschränkbarkeit – Schranken-Schranken;Abschnitt 2 Aufbau der Prüfung eines Freiheitsgrundrechts;245588;245601
Art. 2 II GG;GG;angesehen;Freiheit;Eine prominente Ausnahme in der Spruchpraxis stellt das Jugendhilfe-Urteil des BVerfG von 1967 dar, in dem das Gericht eine Freiheitsentziehung zur bloßen Verhaltensverbesserung ohne Gefährdung für den Betroffenen oder die Allgemeinheit als Verstoß gegen den Wesensgehalt der persönlichen Freiheit in Art. 2 II GG angesehen hat.;;;;;;;;;;;§ 7 Grenzen der Einschränkbarkeit – Schranken-Schranken;Abschnitt 2 Aufbau der Prüfung eines Freiheitsgrundrechts;249421;249433
Art. 19 I 1 GG;GG;müssen;Verbot;Nach dem in Art. 19 I 1 GG normierten Verbot des Einzelfallgesetzes müssen grundrechtseingreifende Gesetze „allgemein und nicht nur für den Einzelfall gelten“.;;;;;;;;;;;§ 7 Grenzen der Einschränkbarkeit – Schranken-Schranken;Abschnitt 2 Aufbau der Prüfung eines Freiheitsgrundrechts;249642;249656
Art. 19 I 1 GG;GG;überlässt;Wortlauts;Der Gesetzgeber darf keine Sonderregelung für einen ausgewählten Fall unter vergleichbaren Sachverhalten schaffen. Das Verbot des Einzelfallgesetzes stellt eine Konkretisierung des allgemeinen Gleichheitssatzes dar und schützt den Grundsatz der Gewaltenteilung, indem es der Verwaltung Handlungsspielräume für den Einzelfall überlässt Entgegen des klaren Wortlauts von Art. 19 I 1 GG („Soweit nach diesem Grundgesetz ein Grundrecht durch Gesetz oder auf Grund eines Gesetzes eingeschränkt werden kann“) gilt das Verbot des Einzelfallgesetzes nach überwiegender Ansicht in der Literatur nicht nur für Grundrechte mit Schrankenvorbehalt, sondern für alle Grundrechte.;;;;;;;;;;;§ 7 Grenzen der Einschränkbarkeit – Schranken-Schranken;Abschnitt 2 Aufbau der Prüfung eines Freiheitsgrundrechts;250166;250180
Art. 19 I 1 GG;GG;gilt;Sinne;Ein Gesetz gilt dann als „allgemein im Sinne von Art. 19 I 1 GG, wenn sich wegen der abstrakten Fassung der gesetzlichen Tatbestände nicht absehen lässt, auf wie viele und welche Fälle das Gesetz Anwendung findet, wenn also nicht nur ein einmaliger Eintritt der vorgesehenen Rechtsfolgen möglich ist.;;;;;;;;;;;§ 7 Grenzen der Einschränkbarkeit – Schranken-Schranken;Abschnitt 2 Aufbau der Prüfung eines Freiheitsgrundrechts;251079;251093
Art. 19 I 1 GG;GG;greifen;Schutzzwecke;Tritt ein Sachverhalt allerdings nur einmalig auf, darf der Gesetzgeber auch ein Einzelfallgesetz erlassen, sofern für diese Sonderbehandlung ein sachlicher Grund vorliegt. Die Schutzzwecke von Art. 19 I 1 GG greifen in diesem Fall nicht.;;;;;;;;;;;§ 7 Grenzen der Einschränkbarkeit – Schranken-Schranken;Abschnitt 2 Aufbau der Prüfung eines Freiheitsgrundrechts;251736;251750
Art. 19 I 2 GG;GG;nennen;Zitiergebot;Nach dem in Art. 19 I 2 GG normierten Zitiergebot muss das grundrechtseinschränkende Gesetz das Grundrecht nennen, in das es eingreift.;;;;;;;;;;;§ 7 Grenzen der Einschränkbarkeit – Schranken-Schranken;Abschnitt 2 Aufbau der Prüfung eines Freiheitsgrundrechts;252067;252081
Art. 19 I 1 GG;GG;aus;Zusammenhang;Für die Gesetzesanwendung stellt das Zitiergebot klar, dass das auszulegende Gesetz in Grundrechte eingreift (Klarstellungsfunktion). Das BVerfG wendet das Zitiergebot eher zurückhaltend an, um eine unnötige Belastung des Gesetzgebers zu verhindern. Nur wenn das Zitiergebot im konkreten Fall auch der Warn-, Besinnungs- und Klarstellungsfunktion dient, wird das Zitiergebot angewendet. Für Grundrechte ohne Schrankenvorbehalt schließt schon die systematische Auslegung im Zusammenhang mit Art. 19 I 1 GG eine Anwendung des Zitiergebots aus. Das Verbot des Einzelfallgesetzes und das Zitiergebot gelten nach dem Wortlaut von Art. 19 I 1 GG nur für Grundrechte, die „durch Gesetz oder auf Grund eines Gesetzes eingeschränkt werden können“.;;;;;;;;;;;§ 7 Grenzen der Einschränkbarkeit – Schranken-Schranken;Abschnitt 2 Aufbau der Prüfung eines Freiheitsgrundrechts;253685;253699
Art. 19 I 1 GG;GG;gelten;Wortlaut;Für die Gesetzesanwendung stellt das Zitiergebot klar, dass das auszulegende Gesetz in Grundrechte eingreift (Klarstellungsfunktion). Das BVerfG wendet das Zitiergebot eher zurückhaltend an, um eine unnötige Belastung des Gesetzgebers zu verhindern. Nur wenn das Zitiergebot im konkreten Fall auch der Warn-, Besinnungs- und Klarstellungsfunktion dient, wird das Zitiergebot angewendet. Für Grundrechte ohne Schrankenvorbehalt schließt schon die systematische Auslegung im Zusammenhang mit Art. 19 I 1 GG eine Anwendung des Zitiergebots aus. Das Verbot des Einzelfallgesetzes und das Zitiergebot gelten nach dem Wortlaut von Art. 19 I 1 GG nur für Grundrechte, die „durch Gesetz oder auf Grund eines Gesetzes eingeschränkt werden können“.;;;;;;;;;;;§ 7 Grenzen der Einschränkbarkeit – Schranken-Schranken;Abschnitt 2 Aufbau der Prüfung eines Freiheitsgrundrechts;253820;253834
Art. 5 II GG;GG;wird;Sinne;Diesem Wortlaut folgend wendet das BVerfG das Zitiergebot nicht auf faktische oder mittelbare Beeinträchtigungen , vorkonstitutionelle Gesetze, die allgemeine Handlungsfreiheit, allgemeine Gesetze im Sinne von Art. 5 II GG sowie offenkundige Grundrechtseingriffe an. Die zurückhaltende Anwendung des Zitiergebotes durch das BVerfG wird in der Literatur zu Recht kritisiert.;;;;;;;;;;;§ 7 Grenzen der Einschränkbarkeit – Schranken-Schranken;Abschnitt 2 Aufbau der Prüfung eines Freiheitsgrundrechts;254146;254158
Art. 20 III GG;GG;ist;Rechtstaatsprinzip;Der im Rechtstaatsprinzip in Art. 20 III GG und den einzelnen Grundrechten zum Ausdruck kommende Grundsatz der Verhältnismäßigkeit ist bereits seit Ende des 19. Jahrhunderts Teil des deutschen (und teilweise auch internationalen) rechtswissenschaftlichen Diskurses und der Verwaltungsrechtsprechung. Allerdings war allein die Exekutive an diesen Grundsatz gebunden.;;;;;;;;;;;§ 7 Grenzen der Einschränkbarkeit – Schranken-Schranken;Abschnitt 2 Aufbau der Prüfung eines Freiheitsgrundrechts;256728;256742
Art. 1 III GG;GG;gebunden;Rechtsprechung;Erst die an Art. 1 III GG anknüpfende Rechtsprechung des BVerfG dehnte den Grundsatz auf die Legislative aus und setzte so einen weltweiten Trend.;;;;;;;;;;;§ 7 Grenzen der Einschränkbarkeit – Schranken-Schranken;Abschnitt 2 Aufbau der Prüfung eines Freiheitsgrundrechts;257081;257094
Art. 2 I GG;GG;dehnte;Handlungsfreiheit;In dem Urteil dehnte das BVerfG die allgemeine Handlungsfreiheit aus Art. 2 I GG (lückenlos) auf jedes menschliche Verhalten ohne Beschränkungen auf die Persönlichkeitsentfaltung aus. Das BVerfG ergänzte diese Erweiterung des Schutzbereiches der allgemeinen Handlungsfreiheit durch ein weites Verständnis des Schrankenvorbehaltes in Art. 2 I GG. Die „verfassungsmäßige Ordnung“ umfasst seit „Elfes“ alle formell und materiell verfassungsmäßigen Gesetze und entspricht damit einem einfachen Gesetzesvorbehalt. Zwar fällt seit „Elfes“ jedes menschliche Verhalten in den Schutzbereich der allgemeinen Handlungsfreiheit (oder eines spezielleren Grundrechts).;;;;;;;;;;;§ 7 Grenzen der Einschränkbarkeit – Schranken-Schranken;Abschnitt 2 Aufbau der Prüfung eines Freiheitsgrundrechts;259253;259264
Art. 2 I GG;GG;entspricht;Schrankenvorbehaltes;In dem Urteil dehnte das BVerfG die allgemeine Handlungsfreiheit aus Art. 2 I GG (lückenlos) auf jedes menschliche Verhalten ohne Beschränkungen auf die Persönlichkeitsentfaltung aus. Das BVerfG ergänzte diese Erweiterung des Schutzbereiches der allgemeinen Handlungsfreiheit durch ein weites Verständnis des Schrankenvorbehaltes in Art. 2 I GG. Die „verfassungsmäßige Ordnung“ umfasst seit „Elfes“ alle formell und materiell verfassungsmäßigen Gesetze und entspricht damit einem einfachen Gesetzesvorbehalt. Zwar fällt seit „Elfes“ jedes menschliche Verhalten in den Schutzbereich der allgemeinen Handlungsfreiheit (oder eines spezielleren Grundrechts).;;;;;;;;;;;§ 7 Grenzen der Einschränkbarkeit – Schranken-Schranken;Abschnitt 2 Aufbau der Prüfung eines Freiheitsgrundrechts;259519;259530
Art. 3 I GG;GG;gezogen;Verbot;Die Grenzen legitimer Zwecke werden durch die Verfassung selbst gezogen (beispielsweise Gleichbehandlungsgebot in Art. 3 I GG oder Verbot des Angriffskrieges in Art. 26 I GG).;;;;;;;;;;;§ 7 Grenzen der Einschränkbarkeit – Schranken-Schranken;Abschnitt 2 Aufbau der Prüfung eines Freiheitsgrundrechts;265070;265081
Art. 26 I GG;GG;Sollte;Angriffskrieges;Die Grenzen legitimer Zwecke werden durch die Verfassung selbst gezogen (beispielsweise Gleichbehandlungsgebot in Art. 3 I GG oder Verbot des Angriffskrieges in Art. 26 I GG).;;;;;;;;;;;§ 7 Grenzen der Einschränkbarkeit – Schranken-Schranken;Abschnitt 2 Aufbau der Prüfung eines Freiheitsgrundrechts;265117;265129
Art. 20a GG;GG;sollte;Grundrechte;Sollte der vom Staat verfolgte Zweck vom Grundgesetz mit Verfassungsrang ausgestattet worden sein (beispielsweise Staatszielbestimmungen in Art. 20a GG, Grundrechte oder auch Kompetenztitel), sollte bereits hier auf diese Verfassungsgüter verwiesen werden.;;;;;;;;;;;§ 7 Grenzen der Einschränkbarkeit – Schranken-Schranken;Abschnitt 2 Aufbau der Prüfung eines Freiheitsgrundrechts;265290;265301
Art. 109 II GG;GG;fordert;Wirtschaftsgesetzgebung;Gerade bei multipolaren Zielkonflikten ist die Verhältnismäßigkeitsprüfung von Gesetzen nicht mehr handhabbar. Im Bereich der Wirtschaftsgesetzgebung fordert Art. 109 II GG beispielsweise die Berücksichtigung der „Erfordernisse des gesamtwirtschaftlichen Gleichgewichts“, also von Wirtschaftswachstum, Preisstabilität, außenwirtschaftlichem Handelsgleichgewicht und hohem Beschäftigungsstand.;;;;;;;;;;;§ 7 Grenzen der Einschränkbarkeit – Schranken-Schranken;Abschnitt 2 Aufbau der Prüfung eines Freiheitsgrundrechts;267261;267275
Art. 80 I GG;GG;richtet;Freiheitsgrundrechts;Die bundesverfassungsrechtliche Kompetenz der Bundesregierung, eines Bundesministers oder einer Landesregierung zum Erlass von Rechtsverordnungen ergibt sich aus Art. 80 I GG. Auch das Verfahren richtet sich nach Art. 80 GG. Für die Ausführung von Landesgesetzen (beispielsweise durch Verwaltungs- oder Realakte der Polizei- und Ordnungsbehörden) sind immer die Landesbehörden zuständig.;;;;;;;;;;;§ 7 Grenzen der Einschränkbarkeit – Schranken-Schranken;Abschnitt 2 Aufbau der Prüfung eines Freiheitsgrundrechts;282536;282548
Art. 80 GG;GG;richtet;Ausführung;Die bundesverfassungsrechtliche Kompetenz der Bundesregierung, eines Bundesministers oder einer Landesregierung zum Erlass von Rechtsverordnungen ergibt sich aus Art. 80 I GG. Auch das Verfahren richtet sich nach Art. 80 GG. Für die Ausführung von Landesgesetzen (beispielsweise durch Verwaltungs- oder Realakte der Polizei- und Ordnungsbehörden) sind immer die Landesbehörden zuständig.;;;;;;;;;;;§ 7 Grenzen der Einschränkbarkeit – Schranken-Schranken;Abschnitt 2 Aufbau der Prüfung eines Freiheitsgrundrechts;282587;282597
Art. 83 GG;GG;sind;Länder;Auch für die Ausführung von Bundesgesetzen sind die Länder gemäß Art. 83 GG zuständig, soweit das Grundgesetz dem Bund nicht die Verwaltungskompetenz einräumt.;;;;;;;;;;;§ 7 Grenzen der Einschränkbarkeit – Schranken-Schranken;Abschnitt 2 Aufbau der Prüfung eines Freiheitsgrundrechts;282827;282837
Art. 1 III GG;GG;gebunden;Rechtsprechung;Die materielle Verfassungsmäßigkeit beschränkt sich in der Regel auf den Verhältnismäßigkeitsgrundsatz, da die meisten Prüfungsschritte der Schranken- Schranken nur das Gesetz betreffen (beispielsweise Wesentlichkeitslehre, Bestimmtheitsgebot, Wesensgehaltsgarantie, Verbot des Einzelfallgesetzes und Zitiergebot). Hierfür ist eine gesonderte Verhältnismäßigkeitsprüfung durchzuführen, die nicht mehr das Gesetz, sondern den Einzelakt als Maßnahme betrachtet. Die Ausführungen zum Grundsatz der Verhältnismäßigkeit auf Ebene der Verfassungsmäßigkeit des Gesetzes gelten hier entsprechend, wobei auf die gewaltenspezifischen Besonderheiten Rücksicht zu nehmen ist. Insbesondere gilt, dass die Kontrolldichte für den Einzelakt deutlich höher ist als für das Gesetz. Dabei ist eine vollständige und uneingeschränkte Grundrechtsprüfung vorzunehmen, da auch die Rechtsprechung nach Art. 1 III GG an die Grundrechte gebunden ist. Die Fachgerichte können für die Auslegung von Grundrechten keine besonderen Einschätzungs-, Beurteilungs- und Prognosespielräume beanspruchen.;;;;;;;;;;;§ 7 Grenzen der Einschränkbarkeit – Schranken-Schranken;Abschnitt 2 Aufbau der Prüfung eines Freiheitsgrundrechts;284028;284041
Art. 3 I GG;GG;ist;Zusammenfassung;Das BVerfG ist keine Superrevisionsinstanz und kontrolliert „nur“, ob durch den Einzelakt Grundrechte verletzt worden sind. Davon zu trennen ist aber die Anwendung von einfachgesetzlichen Normen. Das BVerfG kontrolliert die Anwendung von einfachgesetzlichen Normen nur im Hinblick darauf, ob die Fachgerichte einfachgesetzliche Normen willkürlich angewendet haben. Grundrechtlicher Anknüpfungspunkt für diese Willkürkontrolle ist Art. 3 I GG. Zusammenfassung: Die wichtigsten Punkte – Auf Ebene der Grenzen der Einschränkbarkeit muss geprüft werden, ob das einschränkende Gesetz den Anforderungen des Grundgesetzes an Grundrechtseingriffe genügt.;;;;;;;;;;;§ 7 Grenzen der Einschränkbarkeit – Schranken-Schranken;Abschnitt 2 Aufbau der Prüfung eines Freiheitsgrundrechts;286042;286053
Art. 1 I 2 GG;GG;formuliert;Schutzpflichten;Das Grundgesetz formuliert eine ausdrückliche Basis der grundrechtlichen Schutzpflichten in Art. 1 I 2 GG. Der Schutz der Menschenwürde und die Funktionen der Grundrechte fordern auch staatliche Handlungspflichten.;;;;;;;;;;;§ 8 Schutzpflichten;Abschnitt 3 Grundrechtsschutz und Dritte;291669;291682
